title|building|price|address|metro|description|link
26 м², квартира-студия|ЖК «Остафьево», 11 этаж из 14|36 000 ₽ / мес.|поселение Рязановское, улица Логинова, 3|Щербинка|Сдаётся впервые студия площадью 26 кв.м. с евроремонтом на 11 этаже в 14-этажном доме. Техника и мебель новая. В квартире есть диван MOON. Из техники есть:  Стиральная машина  Холодильник  Микроволновка  Электрическая варочная панель  Вытяжка Дом -|https://realty.ya.ru//offer/5333990059305775127/
25 м², квартира-студия|ЖК «Новое Внуково», 11 этаж из 14|39 000 ₽ / мес.|дачный посёлок Кокошкино, улица Стожарова, 11|Кокошкино|Заезд возможен с 09.04.2024. Сдаётся студия площадью 25 кв.м. с евроремонтом на 11 этаже в 14-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка Дом - монолитный, окна выходят на улицу. Есть|https://realty.ya.ru//offer/6708642209360227992/
25 м², 1-комнатные апартаменты|Апарт-комплекс Alcon Tower, 13 этаж из 35|110 000 ₽ / мес.|Ленинградский проспект, 34А|Динамо|"Лот: 104450. Эксклюзив. Предлагаются в аренду уютные однокомнатные апартаменты в ЖК ""Alcon Tower"". Планировка: кухня, спальня, совмещенный санузел, прихожая. Апартаменты полностью меблированы, в наличии вся необходимая бытовая техника для комфортного"|https://realty.ya.ru//offer/5227620387823354391/
57 м², 2-комнатная квартира|5 этаж из 5|65 000 ₽ / мес.|Ботаническая улица, 8|Владыкино|Заезд возможен с 09.04.2024. Сдаётся 2-комнатная квартира площадью 57 кв.м. с косметическим ремонтом на 5 этаже в 5-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Бойлер  Микроволновка  Пылесос Дом -|https://realty.ya.ru//offer/148398236587202382/
45 м², 2-комнатная квартира|6 этаж из 9|65 000 ₽ / мес.|Смольная улица, 45|Беломорская|Превосходное жилищное предложение! Свежий ремонт в квартире, вы будете первым, кто ощутит уют этого пространства. Ни кто ранее не проживал здесь. Прямая аренда от собственника, без посредников. по договоренности залог можно разбирать на 2 платежа!|https://realty.ya.ru//offer/5092771534347951617/
39 м², 1-комнатная квартира|ЖК «ЭкоБунино», 11 этаж из 12|32 000 ₽ / мес.|поселение Сосенское, проспект Куприна, 34к2|Ольховая|Заезд возможен с 03.05.2024. Сдаётся 1-комнатная квартира площадью 39 кв.м. с косметическим ремонтом на 11 этаже в 12-этажном доме. Из техники есть:  Телевизор  Стиральная машина  Холодильник Дом - монолитный, окна выходят на улицу. В подъезде 2|https://realty.ya.ru//offer/7622043094092979733/
41 м², 2-комнатная квартира|3 этаж из 5|35 500 ₽ / мес.|посёлок Знамя Октября, 30|Силикатная|Заезд возможен с 06.05.2024. Сдаётся 2-комнатная квартира площадью 41 кв.м. с косметическим ремонтом на 3 этаже в 5-этажном доме. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка  Пылесос Дом - кирпичный, окна выходят во|https://realty.ya.ru//offer/8365616036674801431/
30 м², квартира-студия|Новые Ватутинки мкр. «Десна», 2 этаж из 14|33 000 ₽ / мес.|поселение Десёновское, Мостовая улица, 5к1|Филатов Луг|Заезд возможен с 10.04.2024. Сдаётся студия площадью 30 кв.м. с евроремонтом на 2 этаже в 14-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Кондиционер  Микроволновка Дом - монолитный, окна выходят во двор. В|https://realty.ya.ru//offer/8043961968320838698/
55 м², 2-комнатная квартира|14 этаж из 16|65 000 ₽ / мес.|улица Плещеева, 30|Бибирево|Сдаётся 2-комнатная квартира площадью 55 кв.м. с евроремонтом на 14 этаже в 16-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Пылесос Дом - панельный, окна выходят во двор. В подъезде 2 лифта - 1 грузовой и 1|https://realty.ya.ru//offer/1879723047360957882/
22 м², квартира-студия|ЖК «Облака 2.0», 8 этаж из 25|34 500 ₽ / мес.|Люберцы, Солнечная улица, 2|Люберцы|Заезд возможен с 22.04.2024. О КВАРТИРЕ Студия в доме 2023 года от застройщика «3-RED» в ЖК «Облака 2.0». Техника: холодильник, электрическая варочная панель, вытяжка, пылесос, утюг Мебель: кухонный гарнитур со встроенной техникой, обеденный стол, 2|https://realty.ya.ru//offer/4567281540106002759/
